sku,current_title,recommended_title,correct_brand,correct_mpn,recommended_product_type,recommended_meta_description
North 550030M,North 550030M Respirator Large,Honeywell North 5500 Disposable Half Mask Respirator – Medium,Honeywell,550030M,Respirators > Half Mask > Honeywell 5500 Series,"Honeywell North 550030M low-cost disposable half mask respirator (Medium). Same comfortable 7700-series design with fully replaceable parts."
North 550030L,North 550030L Respirator Large,Honeywell North 5500 Disposable Half Mask Respirator – Large,Honeywell,550030L,Respirators > Half Mask > Honeywell 5500 Series,"Honeywell North 550030L low-cost disposable half mask respirator (Large). Same comfortable 7700-series design with fully replaceable parts."
3M 6700,3M 6700 Full Face Respirator Small,3M 6700 Full Facepiece Reusable Respirator – Small (NIOSH),3M,6700,Respirators > Full Face > 3M 6000 Series,"3M 6700 full facepiece reusable respirator (Small, NIOSH). Lightweight comfort; eye + respiratory protection. Pairs with 3M particulate filters & cartridges."
3M 6800,3M 6800 Full Face Respirator Medium,3M 6800 Full Facepiece Reusable Respirator – Medium (NIOSH),3M,6800,Respirators > Full Face > 3M 6000 Series,"3M 6800 full facepiece reusable respirator (Medium, NIOSH). Lightweight comfort; eye + respiratory protection. Pairs with 3M filters & cartridges."
3M 6900,3M 6900 Full Face Respirator Large,3M 6900 Full Facepiece Reusable Respirator – Large (NIOSH),3M,6900,Respirators > Full Face > 3M 6000 Series,"3M 6900 full facepiece reusable respirator (Large, NIOSH). Lightweight comfort; eye + respiratory protection. Pairs with 3M filters & cartridges."
3M 7800-S,3M 7800-S Full Face Respirator Small,3M 7800S Full Facepiece Reusable Respirator – Small (Silicone, NIOSH),3M,7800S-S,Respirators > Full Face > 3M 7800 Series,"3M 7800S silicone full facepiece respirator (Small, NIOSH). Use with 3M 2000/6000/7000-series filters & cartridges and supplied-air systems."
3M 7800-M,3M 7800-M Full Face Respirator Medium,3M 7800S Full Facepiece Reusable Respirator – Medium (Silicone, NIOSH),3M,7800S-M,Respirators > Full Face > 3M 7800 Series,"3M 7800S silicone full facepiece respirator (Medium, NIOSH). Use with 3M 2000/6000/7000-series filters & cartridges and supplied-air systems."
3M 7800-L,3M 7800-L Full Face Respirator Large,3M 7800S Full Facepiece Reusable Respirator – Large (Silicone, NIOSH),3M,7800S-L,Respirators > Full Face > 3M 7800 Series,"3M 7800S silicone full facepiece respirator (Large, NIOSH). Use with 3M 2000/6000/7000-series filters & cartridges and supplied-air systems."
North 760008A,North 760008A Full Face Respirator Medium/Large,Honeywell North 760008A Full Face Respirator – Medium/Large (Silicone),Honeywell,760008A,Respirators > Full Face > Honeywell 7600 Series,"Honeywell North 760008A silicone full facepiece respirator (Medium/Large). Optimal eye, face & respiratory protection with all-day comfort. NIOSH-approved."
North 760008AS,North 760008AS Full Face Respirator Small,Honeywell North 760008AS Full Face Respirator – Small (Silicone),Honeywell,760008AS,Respirators > Full Face > Honeywell 7600 Series,"Honeywell North 760008AS silicone full facepiece respirator (Small). Optimal eye, face & respiratory protection with all-day comfort. NIOSH-approved."
North 54001,North 54001 Full Face Respirator Medium/Large,Honeywell North 54001 Full Face Respirator – Medium/Large,Honeywell,54001,Respirators > Full Face > Honeywell 5400 Series,"Honeywell North 54001 dual-cartridge full face respirator (Medium/Large). Chin-cup fit and hard-coated lens with 200°+ field of vision. NIOSH-approved."
North 54001S,North 54001S Full Face Respirator Small,Honeywell North 54001S Full Face Respirator – Small,Honeywell,54001S,Respirators > Full Face > Honeywell 5400 Series,"Honeywell North 54001S dual-cartridge full face respirator (Small). Chin-cup fit and hard-coated lens with 200°+ field of vision. NIOSH-approved."
3M 6001,3M 6001 Cartridge Organic Vapor Respirator Filter,3M 6001 Organic Vapor Cartridge – Fits 6000/7500/FF-400 (Pair),3M,6001,Respirator Filters & Cartridges > Organic Vapor,"3M 6001 organic vapor cartridge (pair). Protects up to 10x PEL (half mask) / 50x (full face). Fits 3M 6000, 7500 & FF-400 series respirators."
3M 6002,3M 6002 Acid Gas Cartridge Respirator Filter,3M 6002 Acid Gas Cartridge – Fits 6000/7500/FF-400 (Pair),3M,6002,Respirator Filters & Cartridges > Acid Gas,"3M 6002 acid gas cartridge (pair) for chlorine, HCl, SO2 & more. Up to 10x PEL (half) / 50x (full). Fits 3M 6000, 7500 & FF-400 series."
3M 6003,3M 6003 Organic Vapor/Acid Gas Filter Cartridge,3M 6003 Organic Vapor / Acid Gas Cartridge – Fits 6000/7500 (Pair),3M,6003,Respirator Filters & Cartridges > Organic Vapor / Acid Gas,"3M 6003 organic vapor/acid gas cartridge (pair). Broad protection for petrochemical, lab & pulp/paper use. Fits 3M 6000, 7500 & FF-400 series."
3M 6004,3M 6004 Ammonia Methylamine Respirator Cartridge,3M 6004 Ammonia / Methylamine Cartridge – Fits 6000/7500 (Pair),3M,6004,Respirator Filters & Cartridges > Ammonia,"3M 6004 ammonia/methylamine cartridge (pair) for agriculture, chemical & food industry. Up to 10x PEL (half) / 50x (full). Fits 3M 6000/7500 series."
3M 6005,3M 6005 Formaldehyde Organic Vapor Respirator Cartridge,3M 6005 Formaldehyde / Organic Vapor Cartridge – Fits 6000/7500 (Pair),3M,6005,Respirator Filters & Cartridges > Formaldehyde,"3M 6005 formaldehyde/organic vapor cartridge (pair) for labs, wood & carpet processing. Up to 10x PEL (half) / 50x (full). Fits 3M 6000/7500 series."
3M 6006,3M 6006 Multi Acid Gas Organic Vapor Cartridge,3M 6006 Multi Gas / Vapor Cartridge – Fits 6000/7500 (Pair),3M,6006,Respirator Filters & Cartridges > Multi Gas,"3M 6006 multi gas/vapor cartridge (pair). Broadest 3M chemical protection for petrochemical, utilities & mining. Fits 3M 6000, 7500 & FF-400 series."
3M 6009,3M 6009 Mercury Organic Vapor or Chlorine Acid Gas Cartridge,3M 6009 Mercury Vapor / Chlorine Cartridge – Fits 6000/7500 (Pair),3M,6009,Respirator Filters & Cartridges > Mercury,"3M 6009 mercury vapor/chlorine cartridge (pair) for petrochemical, utilities & mining. Up to 10x PEL (half) / 50x (full). Fits 3M 6000/7500 series."
3M 2091,3M 2091 P100 Respirator Filter,3M 2091 P100 Particulate Filter (Pair) – Fits 5000/6000/7000/FF-400,3M,2091,Respirator Filters & Cartridges > P100 Particulate,"3M 2091 P100 particulate filter (pair). 99.97% filtration for welding, lead, asbestos & metal work. Fits 3M 5000, 6000, 7000 & FF-400 series respirators."
3M 2097,3M 2097 P100 Respirator Filter Organic Vapor Relief,3M 2097 P100 Filter w/ Organic Vapor Relief (Pair) – Fits 6000/7000,3M,2097,Respirator Filters & Cartridges > P100 Particulate,"3M 2097 P100 filter with nuisance organic vapor relief (pair). For welding, soldering, lead & asbestos. Fits 3M 5000, 6000, 7000 & FF-400 series."
3M 2291,3M 2291 P100 Advanced Respirator Filter,3M 2291 P100 Advanced Particulate Filter (Pair) – Fits 6000/7000,3M,2291,Respirator Filters & Cartridges > P100 Particulate,"3M 2291 advanced P100 particulate filter (pair), low breathing resistance. For welding, lead, asbestos & metal work. Fits 3M 6000, 7000 & FF-400 series."
3M 2297,3M 2297 P100 Advanced Filter Organic Vapor Relief,3M 2297 P100 Advanced Filter w/ OV Relief (Pair) – Fits 6000/7000,3M,2297,Respirator Filters & Cartridges > P100 Particulate,"3M 2297 advanced P100 filter with organic vapor relief (pair). For welding, soldering & metal pouring. Fits 3M 5000, 6000, 7000 & FF-400 series."
3M 2096,3M 2096 P100 Respirator Filter Acid Gas Relief,3M 2096 P100 Filter w/ Acid Gas Relief (Pair) – Fits 6000/7000,3M,2096,Respirator Filters & Cartridges > P100 Particulate,"3M 2096 P100 filter with nuisance acid gas relief (pair). For welding, brazing & metal pouring. Fits 3M 5000, 6000, 7000 & FF-400 series respirators."
3M 2296,3M 2296 P100 Advanced Filter Acid Gas Relief,3M 2296 P100 Advanced Filter w/ Acid Gas Relief (Pair) – Fits 6000/7000,3M,2296,Respirator Filters & Cartridges > P100 Particulate,"3M 2296 advanced P100 filter with acid gas relief (pair). For welding, soldering & metal work. Fits 3M 5000, 6000, 7000 & FF-400 series respirators."
3M 2071,3M 2071 P95 Respirator Filter,3M 2071 P95 Particulate Filter (Pair) – Fits 5000/6000/7000,3M,2071,Respirator Filters & Cartridges > P95 Particulate,"3M 2071 P95 particulate filter (pair) for grinding, sanding & welding. Up to 10x PEL (half) / 50x (full). Fits 3M 5000, 6000, 7000 & FF-400 series."
3M 2078,3M 2078 P95 Respirator Filter Organic Vapor Acid Gas Relief,3M 2078 P95 Filter w/ OV + Acid Gas Relief (Pair) – Fits 6000/7000,3M,2078,Respirator Filters & Cartridges > P95 Particulate,"3M 2078 P95 filter with nuisance organic vapor & acid gas relief (pair). For dust, welding & finishing. Fits 3M 5000, 6000, 7000 & FF-400 series."
3M 60921,3M 60921 Organic Vapor Cartridge Respirator Filter,3M 60921 Organic Vapor / P100 Cartridge – Fits 6000/7500 (Pair),3M,60921,Respirator Filters & Cartridges > Organic Vapor / P100,"3M 60921 organic vapor cartridge with P100 filter (pair). Swept-back design for comfort & visibility. Fits 3M 6000, 7500 & FF-400 series respirators."
3M 60923,3M 60923 Organic Vapor Acid Gas Cartridge Respirator Filter,3M 60923 Organic Vapor / Acid Gas / P100 Cartridge – Fits 6000/7500,3M,60923,Respirator Filters & Cartridges > Organic Vapor / Acid Gas / P100,"3M 60923 organic vapor/acid gas cartridge with P100 filter (pair). Swept-back design for comfort & visibility. Fits 3M 6000, 7500 & FF-400 series."
3M 60926,3M 60926 Multi Gas Vapor Cartridge Respirator Filter,3M 60926 Multi Gas / Vapor / P100 Cartridge – Fits 6000/7500,3M,60926,Respirator Filters & Cartridges > Multi Gas / P100,"3M 60926 multi gas/vapor cartridge with P100 filter (pair). For petrochemical, utilities, pharma & mining. Fits 3M 6000, 7500 & FF-400 series respirators."
3M 60922,3M 60922 Acid Gas Cartridge Respirator Filter,3M 60922 Acid Gas / P100 Cartridge – Fits 6000/7500 (Pair),3M,60922,Respirator Filters & Cartridges > Acid Gas / P100,"3M 60922 acid gas cartridge with P100 filter (pair) for chemical, glass etching & pulp/paper. Swept-back design. Fits 3M 6000, 7500 & FF-400 series."
3M 60924,3M 60924 Ammonia Methylamine Respirator Filter,3M 60924 Ammonia / Methylamine / P100 Cartridge – Fits 6000/7500,3M,60924,Respirator Filters & Cartridges > Ammonia / P100,"3M 60924 ammonia/methylamine cartridge with P100 filter (pair) for agriculture, chemical & food industry. Fits 3M 6000, 7500 & FF-400 series respirators."
3M 60925,3M 60925 Formaldehyde Organic Vapor Cartridge Filter,3M 60925 Formaldehyde / Organic Vapor / P100 Cartridge – Fits 6000/7500,3M,60925,Respirator Filters & Cartridges > Formaldehyde / P100,"3M 60925 formaldehyde/organic vapor cartridge with P100 filter (pair) for labs & wood processing. Fits 3M 6000, 7500 & FF-400 series respirators."
3M 60928,3M 60928 Organic Vapor Acid Gas Cartridge Filter,3M 60928 Organic Vapor / Acid Gas Cartridge – Radioiodine/Methyl Bromide,3M,60928,Respirator Filters & Cartridges > Organic Vapor / Acid Gas,"3M 60928 organic vapor/acid gas cartridge (pair), 3M-recommended for radioiodine & methyl bromide up to 5 ppm. Fits 3M 6000, 7500 & FF-400 series."
3M 60929,3M 60929 Mercury Vapor Chlorine Gas Cartridge Filter,3M 60929 Mercury Vapor / Chlorine / P100 Cartridge – Fits 6000/7500,3M,60929,Respirator Filters & Cartridges > Mercury / P100,"3M 60929 mercury vapor/chlorine gas cartridge with P100 filter (pair). Up to 10x PEL (half) / 50x (full). Fits 3M 6000, 7500 & FF-400 series respirators."
